Item name,Category,Price,Price before
OFERTA | Motorola G20 128Gb Azul Glaciar + Audífonos MAXELL XC1 con microfono,ofertas,654000,
Celular XIAOMI Redmi Note 11 4GB+128GB Graphite Gray,xiaomi,729000,739000.0
Celular XIAOMI Redmi Note 11 4GB+128GB Star Blue,celulares,729000,739000.0
Celular XIAOMI Redmi Note 11 4GB+128GB Twilight Blue,celulares,729000,739000.0
Motorola G20 128Gb Azul Glaciar Edición Limitada,ofertas,619000,
Celular Moto E40 XT2159-1 64GB Gris Acero Edición Limitada,celulares y tablets,519000,
Celular Moto E40 XT2159-1 64GB Rosa Champagne Edición Limitada,celulares,519000,
Celular XIAOMI Redmi 9A 32Gb Gris,celulares,398000,412000.0
Celular Samsung Galaxy A13 64GB 4G Negro,samsung,619000,
Celular Samsung Galaxy A13 64GB 4G AZUL,samsung,619000,
Celular Samsung Galaxy A03 32GB Blue,celulares y tablets,440000,
Celular XIAOMI Redmi 9C 64 GB Purple,ofertas,569000,589000.0
Celular Samsung Galaxy A03 32GB Black,ofertas,440000,
Celular Samsung Galaxy A03S 64GB Balck,samsung,488000,
Celular Xiaomi Redmi 10A 64GB Silver,ofertas,538000,
Celular XIAOMI Redmi 9C 64 GB Gray,celulares,589000,
Celular Samsung Galaxy A32 128GB 4G Violet,ofertas,836000,891000.0
Celular Samsung Galaxy A13 128GB 4G AZUL,samsung,711000,
Celular Samsung Galaxy A13 128GB 4G Negro,samsung,711000,
"Tablet SAMSUNG Galaxy A7 Lite SM-T220 8"" 64Gb-Gray",tablets,712000,
Tablet KRONO Kids Colors  Wifi Bluetooth,tablets,232000,
Reloj HUAWEI smart band 7 Rojo,huawei,198000,
Reloj HUAWEI smart band 7 Verde,huawei,198000,
Reloj HUAWEI smart band 7 Negro,huawei,198000,
Tablet KRONOS NET K7 7 pulgadas   Android 11  Rom 32 Gb,tablets,239000,
"Tablet SAMSUNG Galaxy A7 Lite SM-T225 8"" 64Gb-Silver",tablets,798000,847000.0
"Tablet  ALCATEL 1T10 Smart  8092 10"" 32Gb WiFi",tablets,512000,
"Tablet Lenovo M10 HD TB-X306F 10"" 2GB+32GB",tablets,459000,
Tablet digitalizadora Genius I608 MousePen,tablet digitalizadora,224000,
Tablet digitalizadora Genius I405x Easypen,tablet digitalizadora,184000,
"Tablet Krono Net Max 10"" Doble Sim Gris",tablets,320000,
"Tablet Krono Net Max 10"" Doble Sim Dorada",tablets,309000,320000.0
Celular Samsung Galaxy A03s 64GB Azul,samsung,488000,
